filename,ramp_deg,entry_angle_deg,displacement_cm
C0051.MP4,30,43.6,11.35
C0052.MP4,30,43.1,10.74
C0053.MP4,30,42.0,13.04
C0054.MP4,30,41.4,13.52
C0056.MP4,30,46.3,10.96
C0057.MP4,30,42.4,12.09
C0058.MP4,30,41.2,12.0
C0059.MP4,30,42.3,13.74
C0060.MP4,30,41.8,10.26
C0061.MP4,30,44.5,10.04
C0062.MP4,30,41.0,12.83
C0063.MP4,30,41.7,11.7
C0064.MP4,30,40.3,11.74
C0065.MP4,30,41.3,12.35
C0066.MP4,30,41.8,13.13
C0067.MP4,30,38.8,13.48
C0068.MP4,30,41.0,13.17
C0069.MP4,30,38.3,13.22
C0071.MP4,30,38.7,12.22
C0072.MP4,30,41.0,11.83
C0073.MP4,30,39.2,13.39
C0074.MP4,30,42.7,11.22
C0075.MP4,30,40.4,10.61
C0076.MP4,30,39.2,11.39
C0077.MP4,30,40.5,13.13
C0078.MP4,30,42.3,10.43
C0081.MP4,45,50.1,9.61
C0082.MP4,45,47.3,8.52
C0083.MP4,45,48.2,11.26
C0084.MP4,45,49.3,9.91
C0085.MP4,45,47.0,9.13
C0086.MP4,45,48.4,10.52
C0087.MP4,45,49.4,10.7
C0088.MP4,45,46.3,9.65
C0089.MP4,45,50.6,10.78
C0090.MP4,45,45.9,10.52
C0091.MP4,45,46.1,8.26
C0112.MP4,45,53.4,10.35
C0113.MP4,45,53.9,9.22
C0114.MP4,45,54.9,9.57
C0115.MP4,45,54.1,11.04
C0116.MP4,45,55.9,9.91
C0117.MP4,45,55.3,10.7
C0118.MP4,45,55.5,8.39
C0119.MP4,45,53.4,8.3
C0120.MP4,45,51.1,8.78
C0121.MP4,45,52.1,11.78
C0122.MP4,45,56.6,11.13
C0123.MP4,45,51.0,10.74
C0124.MP4,45,56.3,9.65
C0125.MP4,45,53.5,10.78
C0126.MP4,45,50.0,11.57
C0127.MP4,45,55.0,10.61
C0129.MP4,45,47.0,8.57
C0131.MP4,45,54.7,10.43
C0132.MP4,45,54.4,8.78
C0133.MP4,45,53.9,10.35
C0134.MP4,45,52.0,10.74
C0136.MP4,45,54.8,8.83
C0137.MP4,45,54.4,10.78
C0138.MP4,45,55.0,10.3
C0139.MP4,45,54.0,10.13
C0140.MP4,45,54.1,10.65
C0141.MP4,45,51.2,11.0
C0142.MP4,45,53.5,11.17
C0147.MP4,60,63.4,6.43
C0149.MP4,60,62.4,5.0
C0150.MP4,60,65.3,4.61
C0151.MP4,60,59.9,7.52
C0152.MP4,60,59.3,6.3
C0153.MP4,60,64.7,3.61
C0154.MP4,60,64.5,6.7
C0155.MP4,60,64.7,7.48
C0156.MP4,60,63.7,8.0
C0157.MP4,60,65.1,6.17
C0158.MP4,60,65.3,7.74
C0159.MP4,60,64.9,7.74
C0160.MP4,60,64.8,6.7
C0161.MP4,60,65.1,6.39
C0162.MP4,60,59.5,6.57
C0163.MP4,60,63.9,7.22
C0165.MP4,60,65.0,9.13
C0166.MP4,60,59.1,7.09
C0167.MP4,60,64.9,6.7
C0168.MP4,60,63.1,7.43
C0171.MP4,60,53.7,6.26
C0172.MP4,60,65.2,7.04
C0174.MP4,60,65.6,8.3
C0176.MP4,60,64.1,6.48
C0177.MP4,60,66.7,5.26
C0178.MP4,60,66.1,8.7
C0179.MP4,60,65.8,6.43
C0181.MP4,60,66.5,6.7
